match_id,season,league_code,league,date,home_team,away_team,actual_home_goals,actual_away_goals,league_avg_goals_pre,league_home_goals_pre,league_away_goals_pre,home_recent8_gf,home_recent8_ga,away_recent8_gf,away_recent8_ga,home_home8_gf,home_home8_ga,away_away8_gf,away_away8_ga,home_elo_pre,away_elo_pre,elo_diff_pre,home_rest_days,away_rest_days,home_rest_missing,away_rest_missing,market_home_prob,market_draw_prob,market_away_prob,market_over25_prob,market_under25_prob,market_missing_1x2,market_missing_ou,asian_handicap,asian_abs_depth,market_home_odds,market_draw_odds,market_away_odds,market_over25_odds,market_under25_odds,asian_home_odds,asian_away_odds,xg_base_home,xg_base_away,xg_base_total,xg_base_margin,residual_home,residual_away,lineup_missing,tracking_missing,pregame_xg_missing,source_url
2021|I1|2021-02-19|Fiorentina|Spezia,2021,I1,Italy Serie A,2021-02-19,Fiorentina,Spezia,3,0,3.026711185308848,1.6093489148580968,1.4173622704507514,0.75,1.75,1.375,1.125,0.75,0.875,1.75,1.75,1470.4253841775203,1481.826651092112,-11.401266914591588,5.0,5.0,0,0,0.47291361639824303,0.2781844802342606,0.24890190336749632,0.450261780104712,0.549738219895288,0,0,-0.5,0.5,2.0,3.4,3.8,2.1,1.72,2.03,1.9,1.5117031925630422,1.0861974824605531,2.5979006750235953,0.42550571010248905,1.4882968074369578,-1.0861974824605531,1,1,1,https://www.football-data.co.uk/mmz4281/2021/I1.csv
2021|N1|2021-02-19|Willem II|Utrecht,2021,N1,Netherlands Eredivisie,2021-02-19,Willem II,Utrecht,0,6,3.072769953051643,1.7488262910798122,1.323943661971831,1.125,2.25,1.75,1.125,1.25,2.125,1.0,1.375,1421.945384220101,1547.2053150318036,-125.25993081170259,5.0,5.0,0,0,0.17383244633139988,0.20127967469951563,0.6248878789690845,0.5994897959183673,0.4005102040816326,0,0,1.0,1.0,5.5,4.75,1.53,1.57,2.35,1.97,1.93,1.1203838304088052,1.9759796445569844,3.0963634749657896,-0.8555958141481792,-1.1203838304088052,4.024020355443016,1,1,1,https://www.football-data.co.uk/mmz4281/2021/N1.csv
2021|D1|2021-02-19|Bielefeld|Wolfsburg,2021,D1,Germany Bundesliga,2021-02-19,Bielefeld,Wolfsburg,0,3,3.1497975708502026,1.6417004048582995,1.508097165991903,1.25,1.5,1.5,0.75,1.0,1.5,1.5,1.0,1442.5957590251114,1593.0543760340533,-150.45861700894193,4.0,5.0,0,0,0.16,0.24000000000000005,0.6000000000000001,0.5,0.5,0,0,1.0,1.0,6.0,4.0,1.6,1.9,1.9,1.87,2.06,0.9699212551457101,1.8088012551457102,2.7787225102914204,-0.8388800000000001,-0.9699212551457101,1.1911987448542898,1,1,1,https://www.football-data.co.uk/mmz4281/2021/D1.csv
2021|I1|2021-02-19|Cagliari|Torino,2021,I1,Italy Serie A,2021-02-19,Cagliari,Torino,0,1,3.026666666666667,1.6116666666666666,1.415,0.375,1.625,1.25,1.125,0.875,2.0,1.625,2.125,1400.8144680804673,1419.245242378325,-18.430774297857624,5.0,6.0,0,0,0.34343434343434337,0.2861952861952861,0.37037037037037035,0.450261780104712,0.549738219895288,0,0,0.0,0.0,2.75,3.3,2.55,2.1,1.72,2.08,1.85,1.2785818040975212,1.319309076824794,2.597890880922315,-0.04072727272727272,-1.2785818040975212,-0.3193090768247939,1,1,1,https://www.football-data.co.uk/mmz4281/2021/I1.csv
2021|E0|2021-02-19|Wolves|Leeds,2021,E0,England Premier League,2021-02-19,Wolves,Leeds,1,0,2.7212317666126418,1.4554294975688817,1.26580226904376,1.25,1.375,1.875,1.5,1.125,1.25,2.0,2.25,1510.2314761998111,1501.921758686998,8.309717512813222,5.0,5.0,0,0,0.42285270112708895,0.27982899339292655,0.29731830547998445,0.5,0.5,0,0,-0.25,0.25,2.25,3.4,3.2,1.9,1.9,2.02,1.91,1.4588230197887897,1.2256150135703676,2.6844380333591573,0.23320800621842208,-0.4588230197887897,-1.2256150135703676,1,1,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv
2021|F1|2021-02-19|Brest|Lyon,2021,F1,France Ligue 1,2021-02-19,Brest,Lyon,2,3,2.6223908918406074,1.4497153700189753,1.1726755218216318,1.125,1.625,2.125,1.0,2.25,1.625,2.25,0.625,1475.0607101041137,1614.8278860890528,-139.76717598493906,5.0,6.0,0,0,0.144358407079646,0.20851769911504422,0.6471238938053098,0.6818181818181818,0.3181818181818181,0,0,1.25,1.25,6.5,4.5,1.45,1.4,3.0,1.77,2.02,1.1705099059789525,2.147691321908156,3.3182012278871085,-0.9771814159292036,0.8294900940210475,0.8523086780918439,1,1,1,https://www.football-data.co.uk/mmz4281/2021/F1.csv
2021|SP1|2021-02-19|Betis|Getafe,2021,SP1,Spain La Liga,2021-02-19,Betis,Getafe,1,0,2.4942339373970346,1.4102141680395388,1.0840197693574958,1.875,1.5,0.625,1.625,1.375,1.125,0.75,1.875,1488.1066012827266,1449.9594611065377,38.14714017618894,5.0,5.0,0,0,0.4409270774448841,0.31599773883550025,0.24307518371961562,0.3436754176610979,0.6563245823389022,0,0,-0.25,0.25,2.15,3.0,3.9,2.75,1.44,1.96,1.97,1.2549796037039245,0.9124275403913187,2.167407144095243,0.3425520633126058,-0.2549796037039245,-0.9124275403913187,1,1,1,https://www.football-data.co.uk/mmz4281/2021/SP1.csv
2021|P1|2021-02-19|Boavista|Moreirense,2021,P1,Portugal Primeira Liga,2021-02-19,Boavista,Moreirense,1,0,2.4549266247379453,1.3081761006289307,1.1467505241090146,0.875,1.5,1.25,1.625,0.75,1.375,0.75,1.0,1424.3646701778976,1507.7527000462337,-83.38802986833616,6.0,5.0,0,0,0.43812451960030746,0.31398923904688697,0.24788624135280551,0.41025641025641024,0.5897435897435896,0,0,-0.25,0.25,2.15,3.0,3.8,2.3,1.6,1.73,2.08,1.3418349956544604,1.0107947189442374,2.352629714598698,0.33104027671022296,-0.3418349956544604,-1.0107947189442374,1,1,1,https://www.football-data.co.uk/mmz4281/2021/P1.csv
2021|F1|2021-02-20|St Etienne|Reims,2021,F1,France Ligue 1,2021-02-20,St Etienne,Reims,1,1,2.6268939393939394,1.4507575757575757,1.1761363636363635,0.875,1.375,0.875,0.625,0.75,1.375,1.375,1.75,1460.4714835107725,1501.9623530370172,-41.49086952624475,5.0,6.0,0,0,0.4571863987046386,0.2928850366701591,0.2499285646252024,0.411764705882353,0.588235294117647,0,0,-0.25,0.25,2.05,3.2,3.75,2.3,1.61,1.82,2.11,1.375844410508683,1.0190705653805754,2.3949149758892583,0.3567738451281075,-0.3758444105086829,-0.01907056538057539,1,1,1,https://www.football-data.co.uk/mmz4281/2021/F1.csv
2021|E0|2021-02-20|Southampton|Chelsea,2021,E0,England Premier League,2021-02-20,Southampton,Chelsea,1,1,2.7184466019417477,1.4546925566343043,1.2637540453074434,0.625,2.5,1.125,0.75,1.0,1.25,1.0,1.125,1479.0072809671603,1585.444503988264,-106.43722302110359,6.0,4.0,0,0,0.20076481835564056,0.25430210325047803,0.5449330783938815,0.5263157894736842,0.47368421052631576,0,0,0.75,0.75,4.75,3.75,1.75,1.8,2.0,1.77,2.02,1.0588338608989076,1.7094162700767277,2.7682501309756353,-0.6505824091778201,-0.05883386089890763,-0.7094162700767277,1,1,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv
2021|SP1|2021-02-20|Elche|Eibar,2021,SP1,Spain La Liga,2021-02-20,Elche,Eibar,1,0,2.491776315789474,1.4095394736842106,1.082236842105263,0.875,1.875,1.0,1.375,1.0,1.625,1.125,1.25,1436.4400798873394,1431.9108501444623,4.529229742877078,7.0,6.0,0,0,0.23741007194244607,0.2877697841726619,0.47482014388489213,0.411764705882353,0.588235294117647,0,0,0.5,0.5,4.0,3.3,2.0,2.3,1.61,1.87,2.06,0.9597125349596488,1.4054765637366273,2.365189098696276,-0.4457640287769785,0.04028746504035119,-1.4054765637366273,1,1,1,https://www.football-data.co.uk/mmz4281/2021/SP1.csv
2021|I1|2021-02-20|Lazio|Sampdoria,2021,I1,Italy Serie A,2021-02-20,Lazio,Sampdoria,1,0,3.0232945091514143,1.6089850249584026,1.4143094841930117,1.875,0.875,1.25,1.125,1.625,1.0,1.125,1.375,1623.9210600125002,1486.1894626253809,137.73159738711934,5.0,6.0,0,0,0.6038755619308649,0.23124015420279465,0.1648842838663405,0.5263157894736842,0.47368421052631576,0,0,-1.0,1.0,1.57,4.1,5.75,1.8,2.0,2.03,1.9,1.8363357414976613,0.9989809290641005,2.835316670561762,0.8373548124335608,-0.8363357414976613,-0.9989809290641005,1,1,1,https://www.football-data.co.uk/mmz4281/2021/I1.csv
2021|D1|2021-02-20|Ein Frankfurt|Bayern Munich,2021,D1,Germany Bundesliga,2021-02-20,Ein Frankfurt,Bayern Munich,2,1,3.1494949494949496,1.6383838383838383,1.511111111111111,2.75,0.875,2.75,1.25,2.0,1.125,2.125,1.0,1583.845590299417,1730.147839896812,-146.30224959739508,6.0,4.0,0,0,0.23595505617977527,0.2247191011235955,0.5393258426966292,0.7017543859649122,0.2982456140350877,0,0,0.75,0.75,4.0,4.2,1.75,1.36,3.2,1.89,2.04,1.4659674680002728,2.054864097213756,3.5208315652140287,-0.5888966292134832,0.5340325319997272,-1.054864097213756,1,1,1,https://www.football-data.co.uk/mmz4281/2021/D1.csv
2021|D1|2021-02-20|FC Koln|Stuttgart,2021,D1,Germany Bundesliga,2021-02-20,FC Koln,Stuttgart,0,1,3.1494949494949496,1.6383838383838383,1.511111111111111,0.875,1.75,1.5,1.875,1.0,1.625,2.125,2.125,1437.1229527775617,1497.5904600822726,-60.46750730471081,6.0,7.0,0,0,0.2522231204527081,0.26273241713823764,0.48504446240905413,0.5263157894736842,0.47368421052631576,0,0,0.5,0.5,3.75,3.6,1.95,1.8,2.0,1.93,2.0,1.212127449199672,1.6509533182376674,2.8630807674373395,-0.43882586903799536,-1.212127449199672,-0.6509533182376674,1,1,1,https://www.football-data.co.uk/mmz4281/2021/D1.csv
2021|D1|2021-02-20|Freiburg|Union Berlin,2021,D1,Germany Bundesliga,2021-02-20,Freiburg,Union Berlin,0,1,3.1494949494949496,1.6383838383838383,1.511111111111111,1.875,1.25,0.875,0.875,2.5,1.25,1.375,1.375,1528.3818703413538,1493.8644845896636,34.5173857516902,7.0,6.0,0,0,0.4030226700251889,0.29848866498740556,0.29848866498740556,0.450261780104712,0.549738219895288,0,0,-0.25,0.25,2.37,3.2,3.2,2.1,1.72,2.09,1.84,1.413184259380833,1.2117288437637046,2.6249131031445376,0.20145541561712843,-1.413184259380833,-0.2117288437637046,1,1,1,https://www.football-data.co.uk/mmz4281/2021/D1.csv
